FID IID PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
MAYO_24696 MAYO_24696 0.0015 -0.0091 -0.0076 -0.0001 -0.0221 0.0067 0.0052 -0.0013 -0.0168 -0.0127
MAYO_25046 MAYO_25046 -0.0019 0.0026 0.0158 0.0067 0.0087 0.0686 -0.0147 0.0038 0.0010 -0.0134
MAYO_25137 MAYO_25137 -0.0004 -0.0055 0.0171 -0.0124 0.0292 0.0402 -0.0445 -0.0072 -0.0079 0.0164
MAYO_25184 MAYO_25184 -0.0192 0.1121 -0.0226 0.0072 0.0019 -0.0546 0.0096 0.0107 -0.0453 0.0023
MAYO_252887 MAYO_252887 -0.0045 -0.0115 0.0018 0.0058 0.0033 0.0221 -0.0183 -0.0297 -0.0027 0.0471
MAYO_252898 MAYO_252898 -0.0055 -0.0130 -0.0052 0.0102 -0.0134 0.0024 0.0199 -0.0105 -0.0236 0.0060
MAYO_25323 MAYO_25323 -0.0138 -0.0087 0.0205 -0.0057 0.0100 -0.0029 0.0080 0.0367 0.0153 -0.0140
MAYO_25575 MAYO_25575 -0.0080 -0.0062 0.0018 -0.0046 -0.0093 0.0271 0.0175 -0.0292 -0.0123 -0.0187
MAYO_255872 MAYO_255872 -0.0121 -0.0123 -0.0039 -0.0085 0.0081 0.0037 -0.0285 -0.0323 0.0249 0.0471
MAYO_25695 MAYO_25695 -0.0102 -0.0041 -0.0040 -0.0081 -0.0007 -0.0025 -0.0031 -0.0176 0.0222 -0.0305
MAYO_259368 MAYO_259368 -0.0107 -0.0037 0.0038 -0.0108 0.0282 -0.0099 -0.0107 0.0229 0.0281 -0.0086
MAYO_26046 MAYO_26046 -0.0083 -0.0025 0.0170 0.0024 0.0174 0.0438 0.0032 0.0636 -0.0846 -0.0014
MAYO_262051 MAYO_262051 0.0015 -0.0068 0.0254 0.0012 0.0748 -0.0288 -0.0274 0.0222 0.0206 -0.0022
MAYO_263784 MAYO_263784 -0.0116 -0.0057 0.0018 -0.0005 0.0076 0.0348 -0.0009 -0.0187 0.0338 0.0687
MAYO_264572 MAYO_264572 -0.0161 -0.0033 0.0178 0.0175 -0.0124 -0.0201 -0.0129 0.0618 -0.0287 0.0402
MAYO_265353 MAYO_265353 -0.0046 -0.0054 -0.0031 -0.0018 -0.0389 -0.0089 -0.0034 -0.0188 0.0069 0.0040
MAYO_265365 MAYO_265365 -0.0141 -0.0073 0.0018 0.0026 0.0051 0.0189 -0.0059 0.0389 -0.0518 -0.0074
MAYO_27097 MAYO_27097 -0.0089 -0.0123 -0.0058 -0.0086 -0.0216 -0.0109 0.0110 0.0152 -0.0217 0.0032
MAYO_27309 MAYO_27309 -0.0006 -0.0084 0.0022 -0.0021 0.0174 0.0015 -0.0062 -0.0129 -0.0287 0.0030
MAYO_27472 MAYO_27472 -0.0085 -0.0057 -0.0026 0.0002 -0.0126 0.0067 -0.0009 0.0058 -0.0094 -0.0204
MAYO_27894 MAYO_27894 -0.0040 -0.0067 0.0105 0.0159 0.0369 -0.0267 -0.0196 0.0543 -0.0849 0.0240
MAYO_2794 MAYO_2794 -0.0104 -0.0067 -0.0011 0.0005 -0.0251 -0.0144 0.0132 0.0090 -0.0427 0.0215
MAYO_28205 MAYO_28205 -0.0171 0.1106 -0.0184 0.0160 -0.0103 -0.0070 0.0199 0.0238 -0.0398 0.0293
MAYO_28748 MAYO_28748 -0.0013 0.1902 -0.0363 -0.0157 -0.0039 -0.0179 -0.0044 -0.0129 0.0639 -0.0204
MAYO_28835 MAYO_28835 -0.0092 -0.0052 0.0067 -0.0047 -0.0042 0.0031 0.0063 -0.0419 0.0268 0.0312
MAYO_290885 MAYO_290885 -0.0148 0.0766 -0.0305 -0.0023 0.0031 -0.0602 0.0023 -0.0210 -0.0340 -0.0051
MAYO_29261 MAYO_29261 -0.0087 -0.0072 0.0048 -0.0020 0.0038 0.0333 0.0110 -0.0098 0.0112 0.0238
MAYO_294892 MAYO_294892 0.0062 0.1947 -0.0245 -0.0109 0.0691 -0.0545 -0.0445 -0.0342 0.0633 -0.0085
MAYO_296537 MAYO_296537 -0.0090 0.1112 -0.0179 0.0056 -0.0282 -0.0499 0.0185 -0.0183 -0.0049 0.0227
MAYO_29889 MAYO_29889 -0.0087 0.0644 -0.0136 -0.0003 0.0035 -0.0249 -0.0096 -0.0384 -0.0240 0.0385
MAYO_29912 MAYO_29912 -0.0176 -0.0098 0.0091 0.0130 -0.0019 -0.0015 -0.0097 0.0450 0.0016 0.0119
MAYO_30343 MAYO_30343 -0.0017 0.0146 0.0417 -0.0297 0.0442 0.1942 -0.0154 0.0648 -0.0500 0.0439
MAYO_30391 MAYO_30391 -0.0077 0.0523 -0.0049 0.0072 0.0348 -0.0767 -0.0599 -0.0139 -0.0761 0.0265
MAYO_305247 MAYO_305247 -0.0161 0.0412 -0.0103 0.0011 0.0052 -0.0289 -0.0113 -0.0509 -0.0261 0.0352
MAYO_3068 MAYO_3068 -0.0176 0.0001 0.0362 0.0416 0.0086 -0.0181 0.0284 0.0898 -0.0679 0.0281
MAYO_3115 MAYO_3115 -0.0110 -0.0018 0.0144 0.0042 0.0040 0.0102 -0.0106 0.0125 0.0063 -0.0377
MAYO_31225 MAYO_31225 0.0072 -0.0096 -0.0077 -0.0046 0.0083 -0.0208 0.0065 -0.0105 -0.0293 -0.0242
MAYO_31261 MAYO_31261 -0.0127 -0.0095 -0.0010 -0.0013 0.0102 -0.0068 -0.0005 -0.0185 0.0179 0.0180
MAYO_3157 MAYO_3157 0.0031 0.0049 -0.0037 -0.0115 -0.0042 0.0666 -0.0021 -0.0047 -0.0054 -0.0169
MAYO_31826 MAYO_31826 -0.0179 -0.0043 0.0048 0.0072 -0.0010 -0.0131 -0.0052 0.0072 -0.0037 0.0157
MAYO_3209 MAYO_3209 -0.0076 0.1486 -0.0300 -0.0102 -0.0131 0.0154 0.0011 0.0208 0.0162 -0.0112
MAYO_32169 MAYO_32169 -0.0070 -0.0012 0.0205 -0.0047 0.0309 0.0278 -0.0588 0.0115 -0.0110 0.0060
MAYO_32499 MAYO_32499 -0.0123 0.0006 0.0322 0.0035 0.0525 0.0548 -0.0522 0.0599 -0.0052 0.0337
MAYO_32610 MAYO_32610 -0.0020 0.1802 -0.0299 0.0042 -0.0137 0.0127 0.0234 0.0506 0.0376 -0.0521
MAYO_3265 MAYO_3265 -0.0121 -0.0077 -0.0132 -0.0001 0.0018 -0.0014 -0.0047 -0.0243 0.0132 0.0638
MAYO_32676 MAYO_32676 -0.0102 -0.0068 0.0068 -0.0065 -0.0083 0.0123 -0.0027 -0.0036 0.0083 0.0358
MAYO_32737 MAYO_32737 -0.0200 -0.0075 0.0020 0.0013 -0.0003 -0.0022 0.0072 0.0168 -0.0069 0.0085
MAYO_33246 MAYO_33246 -0.0194 -0.0087 -0.0032 0.0024 0.0008 -0.0015 -0.0023 0.0123 0.0128 -0.0064
MAYO_33250 MAYO_33250 -0.0167 0.0021 0.0365 0.0326 -0.0023 -0.0363 -0.0048 0.0849 -0.0524 0.0409
MAYO_33255 MAYO_33255 -0.0181 -0.0075 0.0166 0.0018 0.0454 -0.0244 0.0612 0.0179 -0.0016 0.0233
MAYO_3372 MAYO_3372 -0.0047 -0.0018 0.0024 -0.0075 -0.0103 0.0020 -0.0088 -0.0071 0.0087 0.0194
MAYO_34234 MAYO_34234 -0.0119 -0.0108 -0.0046 0.0039 -0.0100 -0.0077 0.0062 0.0099 0.0435 0.0160
MAYO_34236 MAYO_34236 -0.0141 0.0710 -0.0194 0.0037 -0.0020 -0.0638 -0.0233 0.0101 -0.0808 0.0111
